fid,username,reactions_received,total_casts,reaction_cast_ratio
405154,"<a href=""https://warpcast.com/baksomama"" target=""_blank"">baksomama</a>",1,7358,0.0001359064963305246
479730,"<a href=""https://warpcast.com/morrison004"" target=""_blank"">morrison004</a>",4,1986,0.002014098690835851
512982,"<a href=""https://warpcast.com/hanana"" target=""_blank"">hanana</a>",1,399,0.002506265664160401
575414,"<a href=""https://warpcast.com/bichlien6"" target=""_blank"">bichlien6</a>",1,307,0.003257328990228013
575542,"<a href=""https://warpcast.com/bichngoc87"" target=""_blank"">bichngoc87</a>",1,301,0.0033222591362126247
575554,"<a href=""https://warpcast.com/hoalinh66"" target=""_blank"">hoalinh66</a>",1,276,0.0036231884057971015
575393,"<a href=""https://warpcast.com/myhoa99"" target=""_blank"">myhoa99</a>",1,273,0.003663003663003663
390602,"<a href=""https://warpcast.com/silitasin"" target=""_blank"">silitasin</a>",1,206,0.0048543689320388345
396213,"<a href=""https://warpcast.com/esmilo"" target=""_blank"">esmilo</a>",1,206,0.0048543689320388345
398693,"<a href=""https://warpcast.com/meteorbaling"" target=""_blank"">meteorbaling</a>",1,187,0.0053475935828877
324808,"<a href=""https://warpcast.com/zappy"" target=""_blank"">zappy</a>",216,39529,0.0054643426345214905
467111,"<a href=""https://warpcast.com/alexanderr"" target=""_blank"">alexanderr</a>",2,364,0.005494505494505495
512909,"<a href=""https://warpcast.com/phaxyden"" target=""_blank"">phaxyden</a>",1,144,0.006944444444444444
513509,"<a href=""https://warpcast.com/linhlinh"" target=""_blank"">linhlinh</a>",2,280,0.007142857142857143
575512,"<a href=""https://warpcast.com/bichtran75"" target=""_blank"">bichtran75</a>",2,278,0.007194244604316547
513030,"<a href=""https://warpcast.com/lachuc"" target=""_blank"">lachuc</a>",3,398,0.007537688442211055
512906,"<a href=""https://warpcast.com/carocay"" target=""_blank"">carocay</a>",3,383,0.007832898172323759
524807,"<a href=""https://warpcast.com/guinea"" target=""_blank"">guinea</a>",1,120,0.008333333333333333
575404,"<a href=""https://warpcast.com/thanhnhi8"" target=""_blank"">thanhnhi8</a>",2,234,0.008547008547008548
471817,"<a href=""https://warpcast.com/oriona"" target=""_blank"">oriona</a>",3,344,0.00872093023255814
513604,"<a href=""https://warpcast.com/tuleee"" target=""_blank"">tuleee</a>",1,113,0.008849557522123894
512901,"<a href=""https://warpcast.com/lunana"" target=""_blank"">lunana</a>",3,300,0.01
512883,"<a href=""https://warpcast.com/ladyman"" target=""_blank"">ladyman</a>",2,200,0.01
512903,"<a href=""https://warpcast.com/chemchep"" target=""_blank"">chemchep</a>",4,400,0.01
513360,"<a href=""https://warpcast.com/thuytrangg"" target=""_blank"">thuytrangg</a>",4,399,0.010025062656641603
467285,"<a href=""https://warpcast.com/oliviaa"" target=""_blank"">oliviaa</a>",4,387,0.0103359173126615
471780,"<a href=""https://warpcast.com/zephyra"" target=""_blank"">zephyra</a>",4,386,0.010362694300518135
471852,"<a href=""https://warpcast.com/xanthe"" target=""_blank"">xanthe</a>",4,384,0.010416666666666666
471808,"<a href=""https://warpcast.com/maveni"" target=""_blank"">maveni</a>",4,384,0.010416666666666666
566320,"<a href=""https://warpcast.com/flaash"" target=""_blank"">flaash</a>",2,190,0.010526315789473684
512894,"<a href=""https://warpcast.com/superheroo"" target=""_blank"">superheroo</a>",4,376,0.010638297872340425
512889,"<a href=""https://warpcast.com/honeyhouse"" target=""_blank"">honeyhouse</a>",3,280,0.010714285714285714
513414,"<a href=""https://warpcast.com/maidu"" target=""_blank"">maidu</a>",4,372,0.010752688172043012
513042,"<a href=""https://warpcast.com/jenus"" target=""_blank"">jenus</a>",4,367,0.010899182561307902
443125,"<a href=""https://warpcast.com/zwz"" target=""_blank"">zwz</a>",1,88,0.011363636363636364
507123,"<a href=""https://warpcast.com/lalungemhoi"" target=""_blank"">lalungemhoi</a>",9,792,0.011363636363636364
458455,"<a href=""https://warpcast.com/web3turtle"" target=""_blank"">web3turtle</a>",1,86,0.011627906976744186
519411,"<a href=""https://warpcast.com/ngupilcerita"" target=""_blank"">ngupilcerita</a>",1,83,0.012048192771084338
474899,"<a href=""https://warpcast.com/etinaimut"" target=""_blank"">etinaimut</a>",1,83,0.012048192771084338
521047,"<a href=""https://warpcast.com/bohatesayang"" target=""_blank"">bohatesayang</a>",1,83,0.012048192771084338
517059,"<a href=""https://warpcast.com/bilalm"" target=""_blank"">bilalm</a>",1,82,0.012195121951219513
521238,"<a href=""https://warpcast.com/luishamelton"" target=""_blank"">luishamelton</a>",1,82,0.012195121951219513
521190,"<a href=""https://warpcast.com/setempongkanan"" target=""_blank"">setempongkanan</a>",1,82,0.012195121951219513
479769,"<a href=""https://warpcast.com/bentleyoze"" target=""_blank"">bentleyoze</a>",5,400,0.0125
513025,"<a href=""https://warpcast.com/anbana"" target=""_blank"">anbana</a>",5,398,0.01256281407035176
467125,"<a href=""https://warpcast.com/victoriaaa"" target=""_blank"">victoriaaa</a>",5,388,0.01288659793814433
471870,"<a href=""https://warpcast.com/truclinh"" target=""_blank"">truclinh</a>",5,382,0.013089005235602094
513380,"<a href=""https://warpcast.com/phuongthaoo"" target=""_blank"">phuongthaoo</a>",8,602,0.013289036544850499
446807,"<a href=""https://warpcast.com/anhanh"" target=""_blank"">anhanh</a>",3,224,0.013392857142857142
266756,"<a href=""https://warpcast.com/kilomet"" target=""_blank"">kilomet</a>",13,946,0.013742071881606765
447177,"<a href=""https://warpcast.com/betram"" target=""_blank"">betram</a>",3,213,0.014084507042253521
471879,"<a href=""https://warpcast.com/huynhthu"" target=""_blank"">huynhthu</a>",4,283,0.014134275618374558
471886,"<a href=""https://warpcast.com/kimlien"" target=""_blank"">kimlien</a>",4,280,0.014285714285714285
513064,"<a href=""https://warpcast.com/kunluan"" target=""_blank"">kunluan</a>",5,343,0.014577259475218658
264845,"<a href=""https://warpcast.com/uuuuumii"" target=""_blank"">uuuuumii</a>",14,951,0.014721345951629864
264871,"<a href=""https://warpcast.com/mooppo"" target=""_blank"">mooppo</a>",14,936,0.014957264957264958
513037,"<a href=""https://warpcast.com/hongphilan"" target=""_blank"">hongphilan</a>",6,400,0.015
467231,"<a href=""https://warpcast.com/sophiada"" target=""_blank"">sophiada</a>",5,329,0.015197568389057751
467089,"<a href=""https://warpcast.com/mituda"" target=""_blank"">mituda</a>",6,386,0.015544041450777202
471860,"<a href=""https://warpcast.com/nyla"" target=""_blank"">nyla</a>",6,384,0.015625
471825,"<a href=""https://warpcast.com/junipera"" target=""_blank"">junipera</a>",6,384,0.015625
512912,"<a href=""https://warpcast.com/andien"" target=""_blank"">andien</a>",6,384,0.015625
467189,"<a href=""https://warpcast.com/sebastiann"" target=""_blank"">sebastiann</a>",6,383,0.015665796344647518
532321,"<a href=""https://warpcast.com/btclord"" target=""_blank"">btclord</a>",1,60,0.016666666666666666
532340,"<a href=""https://warpcast.com/crystalchain"" target=""_blank"">crystalchain</a>",1,60,0.016666666666666666
532336,"<a href=""https://warpcast.com/monalisan"" target=""_blank"">monalisan</a>",1,60,0.016666666666666666
532326,"<a href=""https://warpcast.com/peepeep"" target=""_blank"">peepeep</a>",1,60,0.016666666666666666
