fid,username,reactions_received,total_casts,reaction_cast_ratio
405154,"<a href=""https://warpcast.com/baksomama"" target=""_blank"">baksomama</a>",1,7086,0.00014112334180073385
479730,"<a href=""https://warpcast.com/morrison004"" target=""_blank"">morrison004</a>",4,1986,0.002014098690835851
512982,"<a href=""https://warpcast.com/hanana"" target=""_blank"">hanana</a>",1,402,0.0024875621890547263
575414,"<a href=""https://warpcast.com/bichlien6"" target=""_blank"">bichlien6</a>",1,400,0.0025
575542,"<a href=""https://warpcast.com/bichngoc87"" target=""_blank"">bichngoc87</a>",1,394,0.0025380710659898475
575451,"<a href=""https://warpcast.com/mynhan35"" target=""_blank"">mynhan35</a>",1,390,0.002564102564102564
575489,"<a href=""https://warpcast.com/myha66"" target=""_blank"">myha66</a>",1,384,0.0026041666666666665
575393,"<a href=""https://warpcast.com/myhoa99"" target=""_blank"">myhoa99</a>",1,372,0.002688172043010753
575554,"<a href=""https://warpcast.com/hoalinh66"" target=""_blank"">hoalinh66</a>",1,367,0.0027247956403269754
575322,"<a href=""https://warpcast.com/bachtrang"" target=""_blank"">bachtrang</a>",1,362,0.0027624309392265192
390602,"<a href=""https://warpcast.com/silitasin"" target=""_blank"">silitasin</a>",1,206,0.0048543689320388345
396213,"<a href=""https://warpcast.com/esmilo"" target=""_blank"">esmilo</a>",1,206,0.0048543689320388345
575432,"<a href=""https://warpcast.com/tuechau"" target=""_blank"">tuechau</a>",2,386,0.0051813471502590676
575404,"<a href=""https://warpcast.com/thanhnhi8"" target=""_blank"">thanhnhi8</a>",2,380,0.005263157894736842
398693,"<a href=""https://warpcast.com/meteorbaling"" target=""_blank"">meteorbaling</a>",1,187,0.0053475935828877
467111,"<a href=""https://warpcast.com/alexanderr"" target=""_blank"">alexanderr</a>",2,368,0.005434782608695652
441260,"<a href=""https://warpcast.com/stu48"" target=""_blank"">stu48</a>",1,183,0.00546448087431694
324808,"<a href=""https://warpcast.com/zappy"" target=""_blank"">zappy</a>",257,39563,0.006495968455374972
512909,"<a href=""https://warpcast.com/phaxyden"" target=""_blank"">phaxyden</a>",1,144,0.006944444444444444
513509,"<a href=""https://warpcast.com/linhlinh"" target=""_blank"">linhlinh</a>",2,280,0.007142857142857143
513030,"<a href=""https://warpcast.com/lachuc"" target=""_blank"">lachuc</a>",3,401,0.007481296758104738
512906,"<a href=""https://warpcast.com/carocay"" target=""_blank"">carocay</a>",3,386,0.007772020725388601
575512,"<a href=""https://warpcast.com/bichtran75"" target=""_blank"">bichtran75</a>",3,366,0.00819672131147541
471817,"<a href=""https://warpcast.com/oriona"" target=""_blank"">oriona</a>",3,347,0.008645533141210375
513604,"<a href=""https://warpcast.com/tuleee"" target=""_blank"">tuleee</a>",1,113,0.008849557522123894
514872,"<a href=""https://warpcast.com/jullyan"" target=""_blank"">jullyan</a>",1,109,0.009174311926605505
537512,"<a href=""https://warpcast.com/reha"" target=""_blank"">reha</a>",1,105,0.009523809523809525
524807,"<a href=""https://warpcast.com/guinea"" target=""_blank"">guinea</a>",1,104,0.009615384615384616
